,Product_ID,Product_Name,Category,Price,Quantity_Sold,Brand,Release_Year,Ratings
11,106,Drawing Tablet,Wearable,234.88,214.0,TP-Link,2017.0,4.2
12,122,Microphone,Office Supplies,688.68,362.0,TP-Link,2021.0,4.3
13,174,Portable Speaker,Home Appliances,1234.33,289.0,Blue Yeti,2017.0,4.7
14,160,Air Purifier,Accessories,719.11,465.0,LG,2017.0,
15,109,Smart Light,Gaming,1062.43,436.0,Logitech,2023.0,
16,193,Oven,Networking,1081.64,141.0,TP-Link,2016.0,4.2
17,279,Smart Refrigerator,Photography,957.41,270.0,LG,2020.0,
18,134,USB Flash Drive,Office Supplies,540.78,456.0,Xbox,2021.0,4.4
19,175,Microphone,Networking,1207.45,344.0,HP,2021.0,3.6
20,129,Gaming Console,Photography,209.78,241.0,Bose,2021.0,
21,297,Wireless Charger,Accessories,848.71,80.0,Samsung,2017.0,4.5
22,227,Toaster,Gaming,1436.18,98.0,Cuisinart,2017.0,4.3
23,138,Drawing Tablet,Smart Home,159.28,321.0,Ring,2021.0,4.6
24,134,Webcam,Networking,1137.86,106.0,Apple,2020.0,3.7
25,185,Motherboard,Photography,744.98,247.0,Breville,2022.0,3.6
26,110,Tripod,Storage,1288.45,140.0,Philips,2018.0,
27,193,RAM,Wearable,608.9,106.0,Blue Yeti,2019.0,3.9
28,252,VR Headset,Smart Home,524.19,293.0,Dyson,2021.0,4.3
29,131,Processor,Photography,112.2,466.0,Keurig,2017.0,
30,254,Oven,Networking,573.82,368.0,Ring,2018.0,4.2
31,115,Smart Refrigerator,Gaming,169.8,411.0,Breville,2019.0,4.3
32,225,Smart Refrigerator,Electronics,1452.67,391.0,JBL,2017.0,4.2
33,102,Bluetooth Adapter,Accessories,828.72,160.0,Apple,2019.0,4.6
34,120,Smart Light,Audio,918.73,371.0,Seagate,2017.0,
35,271,Game Controller,Audio,842.4,401.0,Dyson,2018.0,3.9
36,108,Monitor,Wearable,1050.3,248.0,Cuisinart,2018.0,4.4
37,245,Smart Refrigerator,Office Supplies,530.48,277.0,Canon,2018.0,4.8
38,172,Wireless Charger,Electronics,1262.85,228.0,Garmin,2020.0,4.9
39,242,Smart Light,Office Supplies,1447.61,201.0,Nikon,2016.0,4.8
40,223,Air Purifier,Accessories,1294.8,55.0,Fitbit,2017.0,4.1
41,204,Washing Machine,Accessories,806.92,247.0,Wacom,2023.0,
42,168,Smartwatch,Audio,756.07,426.0,Bose,2023.0,
43,270,VR Headset,Wearable,1365.1,243.0,Microsoft,2015.0,3.9
44,147,Mouse,Accessories,1139.64,108.0,DJI,2018.0,4.2
45,252,Smart TV,Home Appliances,1295.23,16.0,Blue Yeti,2023.0,4.1
46,154,Cooling Pad,Photography,64.62,131.0,Keurig,2016.0,
47,133,Toaster,Office Supplies,1035.5,319.0,Seagate,2021.0,3.5
48,296,Fitness Band,Smart Home,952.35,287.0,Dyson,2023.0,4.0
49,220,Coffee Maker,Electronics,1294.88,441.0,Breville,2022.0,4.2
50,105,External Hard Drive,Photography,1174.62,486.0,Bose,2016.0,
51,205,Camera,Electronics,324.52,31.0,TP-Link,2016.0,3.9
52,285,RAM,Accessories,712.03,170.0,TP-Link,2016.0,4.2
53,132,USB Flash Drive,Audio,562.55,75.0,Ninja,2022.0,4.9
54,217,USB Flash Drive,Office Supplies,906.87,443.0,Logitech,2017.0,3.7
55,227,Tripod,Accessories,800.72,118.0,Fitbit,2017.0,4.6
56,158,Monitor,Photography,825.27,331.0,Amazon,2019.0,4.4
57,155,Camera,Smart Home,359.61,312.0,Philips,2016.0,3.6
58,296,USB Flash Drive,Office Supplies,248.98,347.0,iRobot,2023.0,3.8
59,251,RAM,Smart Home,179.92,326.0,Ninja,2017.0,4.6
60,255,Gaming Console,Accessories,93.92,439.0,Seagate,2017.0,4.4
61,140,Smart Doorbell,Storage,1386.46,170.0,Breville,2019.0,4.4
62,193,Robot Vacuum,Storage,845.99,343.0,Fitbit,2021.0,4.7
63,152,RAM,Smart Home,454.51,162.0,TP-Link,2015.0,4.0
64,168,Router,Photography,1032.09,258.0,Samsung,2022.0,3.6
65,153,Router,Storage,1417.61,149.0,DJI,2016.0,4.7
66,204,VR Headset,Home Appliances,1346.66,448.0,Logitech,2015.0,4.9
67,214,Laptop,Gaming,535.13,232.0,Seagate,2018.0,4.9
68,113,Air Purifier,Storage,363.2,459.0,iRobot,2018.0,3.7
69,164,Blender,Gaming,169.92,488.0,Garmin,2023.0,4.6
70,181,Electric Kettle,Photography,502.38,33.0,Cuisinart,2022.0,3.7
71,299,Smart Doorbell,Smart Home,976.03,169.0,Dell,2023.0,4.5
72,154,Smartphone,Wearable,1383.74,302.0,Canon,2023.0,4.6
73,246,Camera,Accessories,1138.7,452.0,HP,2016.0,
74,116,Smartwatch,Wearable,235.17,477.0,Ring,2022.0,3.7
75,125,Webcam,Networking,730.56,151.0,Sony,2022.0,4.1
76,232,Toaster,Office Supplies,1395.42,318.0,TP-Link,2022.0,4.4
77,151,Speaker,Networking,572.21,265.0,iRobot,2020.0,3.7
78,103,Drawing Tablet,Smart Home,1017.76,302.0,Ninja,2022.0,4.2
79,228,Mouse,Home Appliances,495.38,371.0,Philips,2017.0,4.0
80,238,Smartphone,Home Appliances,373.21,497.0,Sony,2018.0,3.7
81,258,Portable Speaker,Electronics,1208.11,100.0,DJI,2022.0,4.5
82,155,Blender,Photography,880.46,98.0,Cuisinart,2015.0,
83,168,External Hard Drive,Storage,1214.22,63.0,Nikon,2021.0,4.6
84,163,Processor,Accessories,978.74,444.0,Samsung,2017.0,3.6
85,120,Cooling Pad,Storage,982.38,294.0,Apple,2022.0,4.4
86,111,External Hard Drive,Wearable,108.41,442.0,LG,2022.0,3.6
87,274,Wireless Charger,Networking,891.16,348.0,Sony,2020.0,4.1
88,119,Smart Doorbell,Networking,1217.54,372.0,Breville,2023.0,4.5
89,296,Robot Vacuum,Networking,942.54,147.0,Fitbit,2018.0,4.9
90,275,Toaster,Photography,828.41,414.0,Seagate,2015.0,4.1
91,265,Washing Machine,Smart Home,393.16,357.0,Bose,2017.0,4.5
92,266,E-Reader,Photography,266.87,453.0,Apple,2019.0,4.9
93,196,Keyboard,Wearable,1382.49,349.0,Cuisinart,2015.0,4.4
94,250,Smart Doorbell,Wearable,265.96,118.0,Samsung,2019.0,4.3
95,138,Monitor,Accessories,1439.31,386.0,Apple,2022.0,3.9
96,299,Game Controller,Electronics,737.15,289.0,Dyson,2016.0,5.0
97,252,Smart Refrigerator,Electronics,1369.96,360.0,iRobot,2017.0,4.9
98,104,Blender,Audio,1423.44,51.0,Apple,2022.0,4.0
99,181,Electric Kettle,Photography,517.22,148.0,Sony,2015.0,
